,Age,EdLevel,YearsExp,YearsProExp,PreviousSalary,NumSkills,Employed
15151,0,4,9,2,45396,5,0
15152,1,3,20,12,110000,13,0
15153,0,4,5,3,21000,6,0
15155,0,3,6,2,22620,13,0
15156,1,3,20,18,140000,16,1
15157,1,3,8,4,140000,25,1
15158,0,3,10,2,21079,13,0
15159,0,2,5,1,12972,19,1
15160,1,3,13,8,58974,18,1
15161,0,4,10,4,77556,9,0
15162,0,1,19,10,75492,9,1
15163,1,4,7,7,34904,12,1
15164,1,3,34,23,90482,12,0
15165,1,3,30,20,175000,13,0
15166,1,4,37,15,168500,18,1
15167,0,3,10,2,85000,9,0
15168,0,4,5,5,75669,4,0
15169,1,5,30,20,127967,11,0
15170,0,4,3,0,13862,22,1
15171,0,4,7,4,51888,14,0
15173,1,5,24,10,165000,13,0
15175,1,1,5,2,80000,9,0
15176,0,3,4,3,5026,6,1
15177,0,3,10,6,47917,12,1
15178,0,2,13,13,70264,20,1
15179,1,3,20,16,33142,16,1
15180,0,4,7,3,48444,7,0
15181,0,3,11,6,38484,24,1
15183,0,1,20,8,86478,19,1
15184,0,1,10,2,10000,11,1
15185,1,3,26,20,93228,4,0
15186,1,3,35,25,118196,8,1
15187,0,3,6,4,94000,16,0
15188,0,4,9,5,140000,20,1
15189,0,3,3,1,96000,18,1
15190,1,3,30,20,12972,26,1
15191,1,4,30,16,73188,4,0
15192,0,3,8,3,67000,18,1
15193,0,1,12,1,53448,22,1
15194,1,4,20,20,19956,17,1
15195,0,4,2,2,19452,5,0
15196,0,3,8,4,88000,7,0
15197,1,3,24,20,68824,25,1
15198,0,3,7,7,68856,13,1
15199,0,3,11,9,92450,5,0
15200,1,1,20,10,3108,8,0
15201,0,3,19,7,130000,16,0
15202,1,3,30,19,77550,13,1
15203,0,3,9,2,80000,11,0
15204,0,3,3,2,74970,10,0
15205,0,3,13,7,40032,12,1
15206,1,3,24,20,35736,11,1
15207,1,4,17,16,99500,7,0
15208,1,1,20,14,85044,18,1
15209,0,5,9,6,47826,4,0
15210,0,1,7,5,24121,14,1
15211,0,4,14,5,18225,29,1
15212,1,3,2,3,10992,9,0
15215,0,1,8,3,8304,6,0
15216,0,4,14,9,105000,17,1
15217,0,1,5,1,2748,15,0
15218,1,3,15,9,57848,21,1
15219,0,1,15,9,46750,7,0
15220,1,3,26,20,98321,9,0
15221,0,3,10,7,111984,12,1
15222,1,3,9,7,98100,14,1
15223,0,3,4,2,81074,10,1
15224,0,4,13,7,193889,14,1
15225,0,1,1,0,4932,15,1
15226,0,1,3,0,5820,9,1
15227,0,3,16,13,21379,22,1
15229,0,3,6,2,114000,7,0
15230,1,1,11,8,19200,25,1
15231,0,1,12,2,44762,17,1
15232,1,3,21,13,54049,20,1
15233,1,1,35,25,175000,21,1
15235,0,3,7,4,135000,6,0
15236,0,3,8,5,3600,10,1
15237,0,3,11,10,54839,23,1
15238,0,3,10,3,7692,16,1
15239,1,3,35,20,60505,10,0
15240,1,1,30,25,150000,14,0
15241,0,3,9,3,21996,11,1
15242,0,3,12,4,8400,13,0
15243,0,1,19,8,42000,13,0
15244,1,1,10,9,46921,7,0
15245,1,5,20,14,190000,15,0
15246,1,1,30,25,92052,18,1
15248,1,4,25,2,80172,17,1
15249,0,1,2,0,100000,2,0
15250,0,4,11,8,67500,18,0
15251,1,3,25,20,120000,13,1
15252,0,4,5,3,22644,5,0
15253,0,3,13,8,48000,17,0
15254,0,3,4,3,30372,13,1
15255,0,3,4,2,23088,22,1
15256,1,4,18,13,98321,12,1
15257,1,4,34,24,52776,20,1
15258,0,3,7,0,75000,14,1
15259,0,3,19,11,175000,14,0
15260,0,1,3,1,12768,9,0
15261,0,3,5,6,38750,10,0
15262,1,3,25,21,140000,7,0
15263,0,1,10,4,11640,10,1
15264,1,3,27,23,89446,17,1
15265,0,4,15,10,152000,6,0
15266,0,3,13,7,43426,16,1
15267,0,3,9,4,60505,12,0
15268,1,3,25,22,80172,11,0
15269,1,3,13,8,17700,14,1
15270,1,1,10,6,100000,17,1
15271,0,1,4,2,16740,16,1
15272,1,3,20,15,15888,19,1
15273,0,4,10,7,57000,7,0
15274,0,3,5,4,104000,19,1
15275,0,1,18,8,48771,24,1
15276,1,1,23,20,167024,14,0
15277,0,1,11,6,58373,21,1
15278,1,3,20,15,90861,10,1
15279,0,3,6,2,87800,25,1
15280,0,5,12,5,60057,12,0
15281,1,1,24,17,66810,17,1
15282,1,1,11,14,27492,25,1
15283,0,3,10,0,1200,11,0
15286,0,3,11,10,63228,12,1
15287,1,3,12,12,30240,20,1
15288,1,4,13,13,115000,8,1
15289,0,1,8,2,30000,10,0
15290,0,4,15,11,73216,10,0
15291,0,1,19,12,69276,20,1
15292,1,4,4,4,20400,6,0
15295,1,3,29,23,120000,5,0
15296,0,3,10,4,83838,12,0
15297,0,3,10,6,124792,14,1
15298,0,3,6,0,110000,7,0
15299,0,1,13,7,38928,10,0
15300,1,1,4,4,97288,7,0
15301,0,4,8,5,99968,17,1
15302,1,3,24,20,105384,3,0
15304,0,1,5,3,13740,9,0
15305,1,3,29,24,116917,13,0
15306,0,3,16,11,102000,11,0
15307,1,1,22,22,120000,8,0
15308,1,4,20,20,93533,10,1
15310,0,3,9,3,126200,16,1
15311,0,3,12,8,18732,25,1
15312,0,4,7,4,54000,25,1
15313,0,1,2,0,840,7,0
15314,0,3,13,9,39552,9,0
15315,0,1,5,2,2244,9,1
15316,1,4,20,10,52942,19,1
15317,0,1,9,0,36745,11,0
15318,0,4,13,8,23735,11,1
15319,1,1,27,24,62950,29,1
15320,0,1,5,0,12072,9,0
15321,0,4,6,5,50000,12,1
15322,0,1,17,15,21996,15,1
15323,0,2,3,2,66810,8,0
15324,0,3,8,0,90000,9,0
15325,0,3,7,2,5925,10,1
15326,1,1,20,16,162147,21,1
15327,1,5,20,10,140527,9,0
15328,0,3,7,2,80000,8,0
15329,0,3,10,3,17520,13,0
15332,1,2,0,0,3108,15,1
15333,0,3,4,2,12540,17,1
15334,0,2,21,10,135100,12,1
15335,0,1,10,2,15672,6,0
15336,1,1,15,10,79815,10,1
15337,1,3,12,3,14004,17,0
15338,0,1,11,6,69000,25,1
15339,0,3,10,4,3792,15,1
15340,0,5,10,10,73944,26,1
15341,0,1,15,2,29779,14,0
15342,0,3,2,1,21996,6,0
15343,1,4,15,10,43084,11,1
15344,0,3,10,6,133619,10,0
15346,1,3,21,17,167024,17,1
15347,1,5,8,7,106895,17,1
15348,0,3,9,3,98000,9,0
15349,0,3,12,8,60129,10,0
15350,1,3,18,12,144000,20,1
15351,1,4,14,12,85000,12,0
15352,1,3,35,21,106895,11,0
15353,0,3,12,8,143699,10,0
15354,0,4,6,4,7032,11,0
15355,0,3,15,6,110000,15,1
15356,0,3,2,0,70000,18,1
15357,1,4,23,14,71446,15,1
15358,0,3,10,3,41756,5,0
15360,1,1,18,15,80141,25,1
15361,0,1,10,6,54672,12,1
15362,0,3,13,7,108098,29,1
15363,0,3,13,10,75000,22,1
15364,0,3,7,2,80000,29,1
15365,1,4,19,15,43200,10,0
15366,1,4,17,12,101649,13,0
15367,0,1,5,3,36324,14,1
15368,0,3,7,4,15718,11,1
15369,0,3,5,4,26160,11,1
15370,0,1,7,1,41756,19,1
15371,1,4,34,24,41424,22,1
15372,0,3,8,1,11544,16,1
15373,0,4,7,5,30000,10,0
15374,0,3,6,3,17148,10,0
15375,1,1,35,25,97308,19,0
15376,0,3,13,8,11676,27,1
15377,1,4,24,7,30267,16,0
15378,0,1,5,4,76000,28,1
15379,0,4,8,5,3858,7,0
15380,0,3,10,6,23076,14,1
15381,0,1,14,8,23100,23,1
15382,0,3,10,2,36745,5,0
15383,1,4,25,19,128275,20,1
15384,0,1,13,6,7068,5,0
15385,0,3,18,5,74827,6,0
15386,0,5,20,8,167000,27,1
15387,0,3,6,2,6036,6,0
15388,0,3,10,2,13212,7,1
15389,1,1,30,20,50673,13,1
15391,0,1,7,6,19428,11,0
15392,0,2,20,9,67344,23,1
15393,1,4,20,15,84983,13,1
15394,1,3,31,20,142000,25,1
15395,1,1,33,25,102200,24,0
15396,0,4,10,4,31000,4,0
15397,0,3,14,7,160000,21,1
15398,1,5,35,25,40000,10,1
15399,0,1,5,2,3600,11,1
15400,0,3,5,2,60000,11,1
15401,0,3,10,6,85000,15,1
15402,0,3,10,1,45241,14,0
15403,0,3,3,2,90000,6,0
15405,0,3,12,10,38928,11,0
15406,0,1,5,4,27492,8,0
15407,0,3,19,8,72000,20,1
15408,0,3,6,2,35208,12,1
15409,0,3,5,2,9600,12,1
15410,0,3,5,5,18150,14,1
15411,0,3,12,8,16488,13,1
15412,0,1,5,3,26400,19,1
15413,0,3,8,2,10992,7,0
15414,0,1,6,5,17736,11,1
15416,0,3,10,5,28977,20,1
15417,0,3,15,9,120000,21,1
15418,0,1,6,6,120000,25,1
15419,0,1,14,10,21168,10,0
15420,0,3,3,2,8244,27,1
15421,1,3,30,16,96874,8,0
15422,0,3,12,6,80172,7,0
15423,1,3,6,4,69000,21,1
15424,0,4,2,1,28404,13,1
15425,0,1,7,5,11556,8,0
15426,1,4,21,15,15516,22,1
15427,1,3,21,13,54049,8,0
15429,0,3,10,6,39000,9,1
15430,0,2,5,0,4788,10,0
15431,1,4,35,12,109956,10,1
15432,1,4,18,10,93533,14,1
15433,0,3,6,5,25716,17,1
15434,0,3,10,3,10977,15,1
15435,0,3,4,0,11532,4,0
15437,0,3,5,4,10975,7,0
15438,0,1,8,3,10992,11,0
15439,0,3,7,3,30852,13,1
15440,1,4,27,19,107915,23,1
15441,0,4,10,6,56009,16,1
15443,1,3,10,5,50303,27,1
15444,1,3,5,3,35212,15,0
15445,1,3,18,14,68362,17,1
15447,0,3,7,3,30876,13,1
15448,0,3,14,6,54948,22,1
15449,0,3,5,5,32988,5,0
15450,0,3,11,0,38592,16,1
15451,0,3,6,4,90000,20,1
15452,0,3,7,3,32424,9,1
15453,1,5,28,5,120000,9,0
15454,0,3,14,9,91529,11,0
15455,0,1,5,5,4800,26,1
15456,0,3,19,12,90804,29,1
15457,0,3,22,5,15840,15,1
15458,0,1,4,4,28860,5,0
15459,0,3,15,11,27948,28,1
15460,0,3,10,6,10536,17,1
15461,1,4,27,20,151250,18,1
15462,1,3,10,6,79413,9,0
15463,1,4,19,15,79,13,0
15464,0,3,5,4,20244,9,1
15466,0,4,7,5,84707,19,1
15467,0,1,10,6,22296,4,0
15468,0,3,1,0,80000,17,1
15469,0,3,15,5,17148,22,1
15471,0,3,7,6,50940,19,0
15472,0,1,4,2,18000,24,1
15473,0,3,6,2,100000,11,0
15474,0,4,9,1,150000,16,1
15475,1,3,21,20,66396,23,1
15476,1,3,13,9,24660,12,0
15477,0,3,13,9,27984,10,1
15478,0,1,7,5,16596,21,1
15480,0,1,7,3,4150,21,1
15481,1,1,14,14,96945,16,0
15482,0,5,11,3,53000,2,0
15483,0,3,8,5,8784,13,1
15484,0,4,15,3,30876,16,1
15485,0,3,10,3,9744,4,0
15486,0,3,18,6,48103,20,1
15487,0,1,7,5,24324,18,1
15488,0,3,7,3,105000,23,0
15489,1,3,15,11,31788,9,1
15490,0,1,10,8,126938,11,1
15491,0,3,11,9,84000,18,1
15492,0,3,8,4,17148,4,0
15493,0,3,9,2,19236,15,1
15494,1,3,21,16,70044,9,1
15495,0,3,14,10,79980,8,0
15496,0,1,12,6,10596,16,1
15497,0,2,16,11,150000,18,1
15499,0,4,10,7,49712,10,0
15500,0,3,15,14,63000,14,1
15501,0,4,16,10,28825,19,0
15502,0,3,5,10,11412,27,1
15503,0,4,7,3,14124,7,0
15504,0,1,14,2,49160,15,0
15505,0,3,6,0,3300,12,0
15506,0,4,11,7,73491,17,1
15507,1,1,33,13,152879,20,0
15508,0,3,5,2,44723,15,0
15509,0,3,10,7,132355,12,0
15510,1,2,24,23,85000,26,1
15511,1,1,21,17,41885,25,1
15512,0,3,4,3,41148,11,0
15513,1,4,22,13,90000,7,0
15514,0,3,5,2,4020,17,1
15515,0,3,6,4,26979,4,0
15517,1,3,23,12,155000,15,1
15518,0,3,15,7,68592,9,0
15519,1,3,25,16,8376,8,0
15520,0,3,10,7,86853,9,0
15521,1,3,15,10,48000,28,1
15522,0,3,8,2,47270,11,0
15523,0,3,12,5,52740,28,1
15524,0,1,5,2,5496,26,1
15525,0,3,5,4,160000,15,1
15526,0,3,9,4,100000,14,1
15527,0,3,13,9,60505,10,0
15528,0,3,18,9,185000,26,1
15529,0,3,8,4,42725,20,0
15530,0,3,15,9,103408,27,1
15531,1,4,12,10,50000,15,1
15532,1,4,18,13,52970,15,0
15533,0,2,3,1,31764,20,1
15534,0,3,11,3,82000,15,1
15535,1,4,26,18,45276,6,0
15536,1,1,27,21,68724,13,0
15537,0,3,7,7,105000,26,1
15538,1,4,33,15,106895,17,1
15539,1,4,6,10,100000,14,1
15540,0,4,10,4,150000,13,1
15541,0,3,18,8,99421,17,1
15543,1,1,3,1,8343,9,1
15544,0,3,5,3,31848,2,0
15545,0,4,13,7,19546,11,1
15546,1,4,7,5,97200,8,0
15547,1,1,37,21,150000,6,0
15548,1,4,33,16,106895,19,1
15549,0,4,8,7,21780,11,1
15550,1,3,35,22,47917,6,0
15551,0,1,5,2,4800,12,1
15552,0,4,7,3,100000,12,1
15553,0,3,5,3,62828,10,0
15554,1,1,26,19,38916,9,0
15555,0,3,16,13,23964,21,1
15557,0,3,20,16,80172,20,1
15558,1,3,25,20,66810,16,1
15559,0,3,11,5,10092,14,1
15560,0,3,0,5,17292,19,1
15561,0,2,4,2,11208,13,1
15562,1,1,20,20,180996,4,0
15563,0,2,4,2,2640,9,0
15565,0,3,13,9,13404,17,1
15566,1,3,24,15,25752,8,1
15567,1,3,22,16,91080,10,1
15568,0,4,10,10,12566,14,0
15569,0,3,10,6,26527,17,1
15570,0,3,9,5,67084,16,1
15571,1,3,33,25,22620,16,1
15572,1,4,8,0,10560,6,0
15573,1,3,20,14,100344,10,0
15574,1,3,18,14,38437,12,1
15575,0,4,6,2,105000,10,0
15576,0,3,10,7,24224,13,1
15577,0,3,7,3,3348,10,0
15578,1,2,23,21,48108,21,1
15579,0,3,10,5,12000,15,1
15580,0,3,9,6,13980,19,1
15581,0,3,6,3,5585,11,0
15582,0,4,6,1,37834,30,1
15583,0,4,10,5,21372,18,1
15584,1,5,20,15,86000,14,0
15585,0,3,10,3,17304,14,1
15586,0,4,6,5,14244,12,0
15587,0,3,10,7,165000,15,0
15588,1,2,20,17,30792,19,1
15590,0,3,12,7,140000,14,0
15592,0,3,10,5,15084,10,0
15593,0,4,20,9,84912,9,0
15594,0,3,12,9,9216,21,1
15595,0,2,20,10,2000,17,1
15596,1,5,35,25,64860,21,1
15597,0,4,20,11,45912,29,1
15598,0,3,2,0,7020,11,0
15599,0,4,10,6,21108,16,1
15600,0,3,8,8,76831,2,0
15601,0,3,17,2,129000,20,1
15602,0,4,14,9,71943,23,1
15603,0,3,18,10,39600,13,1
15604,0,4,6,2,51708,15,0
15605,1,1,15,10,4392,23,1
15606,1,4,30,22,180000,15,0
15607,0,4,9,4,43980,10,0
15608,0,4,20,14,49068,11,0
15609,0,3,10,2,7212,6,0
15610,1,3,5,3,92000,17,1
15612,0,3,3,3,7190,8,1
15614,0,3,15,7,138000,12,0
15616,0,3,13,12,28860,21,1
15617,0,3,4,4,21278,8,0
15618,0,3,8,5,7572,11,0
15619,0,3,5,3,5652,10,0
15620,0,1,7,3,36000,13,1
15621,0,3,8,5,150792,6,1
15622,0,3,20,12,59676,24,1
15623,0,3,7,4,16956,12,1
15627,0,2,3,1,19236,20,1
15628,1,3,20,20,150000,22,0
15630,0,4,10,3,140000,18,1
15631,0,3,18,11,27923,11,1
15632,0,3,6,2,9773,11,0
15633,1,3,25,10,15000,21,1
15634,0,3,14,5,80172,13,1
15635,0,3,3,1,12732,7,0
15636,0,3,5,4,6504,16,0
15637,1,4,15,10,60000,11,1
15638,0,3,6,3,103000,19,1
15639,1,2,20,10,12972,9,1
15640,0,1,7,3,23916,13,0
15641,0,3,10,8,77940,23,1
15642,0,3,4,0,3684,5,0
15643,0,4,5,3,54049,9,0
15644,0,1,2,2,15852,21,1
15645,0,3,15,1,8377,7,0
15646,0,1,16,6,112884,22,1
15647,0,4,7,6,13962,13,1
15649,1,4,6,5,175000,24,1
15650,0,1,12,12,8928,8,0
15651,0,3,3,1,40000,12,1
15652,0,5,10,8,66810,8,0
15653,1,1,30,20,19392,2,0
15654,0,2,6,4,5244,19,1
15655,0,3,5,2,3012,15,1
15656,1,4,35,22,77832,21,1
15657,1,3,20,12,72048,15,0
15658,0,3,7,4,60150,20,1
15659,0,3,10,6,21641,16,1
15660,0,3,12,8,14436,5,0
15661,0,2,6,2,26828,20,1
15664,1,4,30,21,77832,14,0
