,Age,EdLevel,YearsExp,YearsProExp,PreviousSalary,NumSkills,Employed
0,0,4,7,4,51552,4,0
1,0,3,12,5,46482,12,1
2,0,4,15,6,77290,7,0
3,0,3,9,6,46135,13,0
5,0,4,9,2,38915,5,0
6,1,4,26,18,77831,17,1
7,0,4,14,5,81319,4,0
8,1,3,39,21,68507,3,0
9,1,4,20,16,37752,6,0
10,0,3,4,2,122580,18,1
11,0,3,6,2,11832,13,1
12,0,4,19,10,60535,5,0
13,0,3,8,0,103000,7,0
14,0,4,6,3,25944,5,0
15,1,3,22,15,60480,16,1
16,0,1,7,1,20556,5,0
17,0,3,12,6,25944,25,1
18,1,4,34,12,64630,14,1
19,1,4,21,16,54049,17,1
20,0,1,5,3,22644,12,0
21,1,1,25,10,71850,6,0
22,1,4,20,10,58373,7,1
23,1,3,24,18,129266,12,0
24,0,4,10,2,25944,7,0
25,1,3,25,15,105000,6,0
27,1,5,10,8,151263,8,0
28,1,3,10,3,40500,8,0
29,0,3,12,7,43908,24,1
30,0,4,25,6,42336,21,1
31,1,1,31,17,95295,10,1
32,0,5,18,1,100000,8,0
33,1,3,26,14,61398,10,1
34,0,2,20,10,108098,17,1
35,0,3,10,4,27336,21,1
36,0,4,10,7,5216,4,0
37,0,4,8,3,151337,11,0
38,0,1,18,8,24648,18,1
39,0,3,4,1,7788,5,0
41,0,3,10,3,64630,8,1
42,0,3,10,8,38915,13,1
43,0,3,8,3,4944,11,0
45,0,4,13,2,14268,17,1
46,0,3,10,2,43239,17,1
47,0,2,3,0,48,8,0
48,0,3,12,6,140000,14,1
49,0,1,6,4,14124,26,1
50,1,1,6,5,101916,7,0
51,0,4,17,8,21000,7,0
52,0,3,7,1,54000,10,1
54,0,3,17,5,36324,23,1
55,0,3,1,3,38778,20,1
56,0,1,5,3,48600,28,1
57,1,4,30,25,59454,10,1
58,0,3,4,2,14652,8,0
60,0,4,27,11,97288,22,1
61,0,1,15,5,75492,6,0
62,0,4,2,2,36000,5,0
63,0,4,7,5,49725,12,1
64,1,3,31,25,70047,11,1
65,0,3,15,4,98500,23,1
66,0,3,20,7,2340,19,1
68,0,4,9,6,43908,13,1
69,0,3,8,7,103408,15,1
70,0,4,13,8,42000,18,1
71,0,3,7,4,105072,2,0
73,1,3,8,4,17412,6,0
74,0,1,4,2,14844,9,0
75,1,4,3,3,98321,5,0
76,1,1,16,14,54049,17,1
77,1,4,26,24,115784,15,1
78,0,3,10,6,56616,11,0
79,0,3,14,11,69183,7,0
80,1,3,24,18,25944,12,1
81,1,1,35,25,60752,4,0
82,1,3,6,3,16704,22,0
83,1,3,23,15,81420,18,0
84,0,3,7,3,14280,5,0
85,1,4,20,13,84019,15,1
86,1,3,20,18,63648,20,1
87,0,3,5,1,4620,17,1
88,0,4,10,9,70000,15,0
89,0,1,12,7,91883,20,0
90,0,4,3,2,30192,7,0
91,0,3,10,5,90000,12,1
92,1,3,20,20,21600,20,1
93,0,3,15,6,50592,9,1
95,0,4,9,2,193000,5,0
96,0,3,9,4,28536,14,0
97,1,4,4,2,96874,14,0
98,1,3,24,14,77556,15,1
99,1,3,21,14,103408,19,1
100,1,3,28,22,121979,7,0
101,0,5,15,9,75492,14,0
102,0,3,10,8,84316,29,1
104,0,3,6,2,22584,14,1
105,0,3,14,7,103408,4,0
106,0,4,15,5,44320,20,1
107,1,3,30,22,165000,29,1
108,0,3,13,3,5268,13,1
109,0,1,10,5,51888,14,0
110,0,3,12,7,85500,16,0
111,0,3,7,7,48000,12,1
112,0,4,12,9,64859,6,0
113,0,3,6,3,42158,11,0
114,0,3,18,7,32424,2,0
115,0,3,2,2,60000,12,1
116,0,4,5,5,51888,7,0
117,1,5,16,12,35028,1,0
118,0,1,9,3,9084,10,1
119,1,5,13,8,74588,3,0
120,0,3,6,4,33732,11,0
121,0,4,13,8,27852,12,1
122,0,3,12,3,50153,11,0
123,0,4,15,11,30716,13,1
124,0,4,10,7,77831,25,1
125,0,3,7,3,81624,13,1
126,0,4,6,2,54049,5,0
127,0,3,10,2,10450,18,1
128,0,4,7,7,41077,15,1
129,0,3,10,3,45396,8,0
130,0,1,4,2,19389,10,1
131,1,4,24,15,77831,8,0
132,1,3,18,13,160000,6,0
135,0,3,20,9,107972,7,0
136,0,3,9,7,66897,21,1
137,1,1,5,0,75000,17,1
138,0,1,8,6,48472,12,0
139,1,3,24,16,120000,13,1
140,0,1,12,12,8796,10,0
142,0,1,5,3,4272,17,1
143,0,3,9,4,28105,10,0
144,1,1,30,20,77832,10,0
145,0,5,10,4,51704,5,0
146,1,3,23,23,18000,9,0
147,1,1,20,15,43239,17,1
148,0,3,6,1,9231,6,0
149,1,3,25,15,70264,10,1
150,0,3,5,2,5388,18,1
151,0,4,22,13,115000,10,1
152,0,3,21,12,144000,22,1
153,0,4,14,4,65508,6,0
154,1,4,31,21,70264,5,0
157,1,2,22,22,105000,6,0
158,1,4,20,5,56211,13,1
159,0,4,10,7,64630,7,1
160,0,4,14,10,110000,6,0
161,0,3,14,7,64860,10,0
162,1,3,25,15,120000,21,1
163,0,3,7,0,6360,10,0
164,0,2,11,6,48644,20,1
165,0,4,17,11,54672,14,0
166,0,3,6,4,35676,15,1
167,0,3,18,4,75631,3,0
169,0,4,14,9,58373,9,0
170,0,3,4,3,25944,15,0
171,0,3,4,2,5585,13,0
172,0,1,15,4,58000,8,0
173,0,3,18,6,61616,15,0
174,1,5,20,13,59454,6,0
175,0,5,15,3,55224,7,0
176,0,4,11,6,68068,10,0
178,1,5,30,14,118908,9,0
179,0,2,18,1,40000,6,0
180,0,3,15,8,71850,12,1
181,1,3,21,14,66934,4,0
182,0,4,8,3,54216,8,0
183,0,3,12,10,64860,15,1
184,0,3,6,1,19860,10,0
185,0,1,6,1,54888,10,0
186,0,2,8,7,58373,17,0
187,1,4,27,20,56616,16,0
188,0,5,13,9,45401,17,1
189,0,4,2,1,48104,2,0
190,1,3,24,20,84312,8,0
191,1,4,25,24,55582,7,0
193,0,1,7,3,72000,30,1
194,1,1,30,21,60752,14,1
195,0,1,9,4,25944,16,1
196,1,3,26,16,179858,16,0
197,1,1,26,20,30372,6,1
198,0,4,15,6,29832,14,1
199,0,3,10,6,40020,16,1
200,1,5,20,6,90000,8,0
201,0,3,12,3,67000,28,1
202,0,3,12,4,21676,8,0
203,1,4,25,16,101649,4,0
204,0,1,6,4,17352,22,1
205,1,1,25,16,195000,11,0
206,0,4,8,7,34380,10,0
207,1,5,35,23,155111,9,0
208,0,4,16,4,64860,12,1
209,1,3,14,12,123228,7,0
210,0,3,6,2,90000,14,0
211,0,2,15,1,28308,10,0
212,0,4,3,3,48644,9,0
213,0,3,12,5,54769,7,0
214,0,3,7,5,45564,16,1
215,0,3,9,7,25428,20,1
216,0,4,20,12,29000,2,0
217,0,3,10,6,170000,24,1
218,0,3,7,3,19728,22,1
219,0,3,9,4,24132,8,0
220,0,1,10,6,54804,20,1
221,0,3,9,4,70000,13,1
222,0,3,13,8,42432,13,1
223,1,4,15,10,97288,13,1
224,0,2,8,2,40000,9,0
225,0,3,6,4,40212,30,1
226,0,3,8,4,15408,20,1
227,0,4,7,6,54224,8,0
228,0,4,11,7,81319,13,1
229,1,3,22,4,85000,5,0
230,0,3,6,1,64859,17,1
232,0,1,12,5,31750,18,1
233,0,4,6,2,100000,17,1
234,0,3,5,3,92000,14,0
235,0,3,10,4,34591,15,0
236,1,1,20,10,92500,23,1
237,0,4,15,12,135000,7,0
238,0,3,9,5,71093,24,1
239,0,3,8,5,42756,4,0
240,0,3,8,4,150000,11,1
241,1,3,21,19,65000,13,1
242,1,2,18,17,25944,11,1
243,1,5,25,20,64859,6,0
244,1,3,20,15,48644,6,0
245,0,3,10,3,35672,10,0
246,0,4,12,7,64860,8,0
247,0,3,10,3,59454,8,0
248,0,4,12,9,45396,10,1
249,1,3,28,20,19452,17,1
250,0,3,3,2,22212,29,1
251,0,3,18,11,60000,29,1
253,0,3,15,9,53832,14,1
254,0,4,7,2,18080,18,1
255,0,3,11,3,31128,11,0
256,0,3,16,12,96204,26,1
257,0,3,6,3,5448,9,0
258,0,4,15,6,88640,17,0
259,0,1,6,2,20539,18,1
261,1,5,30,10,49765,3,0
262,0,3,14,8,57765,7,0
263,0,3,6,3,40000,6,0
264,0,2,6,2,37440,12,0
265,0,3,3,1,11724,16,1
266,1,3,20,13,111814,11,0
267,0,4,5,4,133000,11,0
268,1,1,23,13,69183,8,1
269,0,3,20,6,64737,8,0
270,0,3,13,8,47563,9,0
271,1,3,16,12,118908,12,0
272,0,4,12,6,69183,14,1
273,0,3,10,8,29320,23,1
274,1,3,22,8,70264,14,0
275,0,3,1,0,4008,4,0
276,0,4,12,5,150000,10,0
278,1,4,22,7,64859,17,1
279,1,4,30,17,59454,14,1
280,1,1,20,17,78750,6,0
281,0,4,13,5,36753,11,0
282,0,3,3,0,6981,5,0
283,1,3,25,19,125000,13,1
284,0,3,17,10,63854,5,0
285,1,1,14,10,123984,17,1
286,0,1,13,10,25944,11,0
287,0,1,4,0,2508,20,1
288,0,4,13,4,46482,15,0
289,0,4,9,5,7788,13,1
290,0,1,8,5,72000,12,1
291,1,1,34,25,152473,11,1
292,0,4,3,3,35672,2,0
293,0,4,12,6,85908,20,1
294,0,3,9,5,27144,15,1
295,0,3,4,0,8376,12,0
296,0,3,11,7,86478,19,1
297,0,1,13,8,45564,21,1
298,0,3,16,7,134028,2,0
300,0,4,17,10,36708,9,1
301,1,2,21,18,54049,18,1
302,1,4,27,7,56211,4,0
303,0,4,13,6,60744,17,1
304,0,3,8,3,5208,20,1
305,1,3,36,25,183767,8,0
306,0,3,11,2,25128,25,1
307,0,3,17,10,49725,18,1
308,0,1,13,4,36324,16,1
309,0,3,3,1,82000,11,0
310,0,5,12,10,105000,3,0
311,0,1,25,15,59454,27,1
312,0,1,4,2,28437,12,0
313,0,1,4,3,41004,9,1
314,1,3,25,5,101612,11,0
315,0,3,15,9,135000,14,1
316,0,3,6,7,31332,6,0
317,0,3,10,6,50806,14,1
318,0,1,6,3,41077,12,0
319,0,2,3,2,24912,15,0
320,0,4,7,5,45401,16,1
321,0,4,12,10,37620,23,1
323,0,4,11,3,40489,16,1
324,0,4,20,10,58000,17,1
325,0,3,2,1,12828,8,0
326,0,4,7,3,48472,4,0
327,0,1,7,5,27528,15,1
328,0,2,8,0,19389,15,1
329,0,3,11,7,43239,7,0
330,0,2,12,8,16215,13,0
331,0,3,10,5,35676,6,0
332,1,3,27,11,180000,5,0
333,0,5,10,7,51888,4,0
335,0,5,6,6,33095,5,0
336,0,3,4,1,8364,7,0
337,0,3,3,2,70000,7,0
338,1,4,9,9,57072,6,1
339,1,3,30,20,130000,12,1
340,0,3,3,2,22512,5,0
341,0,4,7,4,2568,8,0
342,0,3,5,4,22536,28,1
343,1,3,9,9,96000,3,0
344,0,3,15,8,32424,7,0
347,0,2,9,3,42156,13,1
348,1,3,14,8,91056,21,1
349,1,1,35,25,68068,11,0
351,0,3,6,2,9864,25,1
352,1,1,25,4,55702,3,0
353,0,2,3,2,11832,26,1
354,0,4,9,7,41232,15,1
355,0,4,2,1,6852,14,0
356,0,4,20,5,39131,19,1
357,0,4,10,8,46644,20,1
358,0,3,13,4,72000,9,1
359,1,1,33,20,110000,19,1
360,0,1,20,12,45401,15,1
361,0,3,18,13,155000,9,1
362,0,2,15,9,54564,20,1
363,0,4,12,4,24300,17,1
364,0,1,18,14,75885,21,1
365,0,4,12,7,125000,6,0
367,0,2,15,9,30000,14,1
368,0,1,10,4,105000,3,0
369,1,4,29,24,68724,3,0
370,0,1,4,4,10992,11,0
371,0,3,6,3,40500,13,1
372,0,4,6,1,19152,3,0
373,0,3,5,1,12828,7,0
374,1,4,20,10,77832,17,1
375,0,3,11,0,16050,5,0
376,1,3,14,7,50928,13,0
377,0,3,2,1,5868,20,1
378,1,1,35,25,156000,29,1
379,1,3,21,20,155844,26,1
380,0,3,12,5,77900,5,0
381,0,4,4,2,27844,20,1
382,1,3,22,15,126083,10,1
383,0,1,12,6,51704,4,0
384,1,4,20,16,50806,10,0
386,0,3,10,4,38400,14,0
387,1,5,30,12,103776,7,0
388,0,4,10,2,45000,7,1
389,0,3,10,3,9773,14,1
390,0,4,13,4,45401,10,0
391,1,3,20,15,120000,17,1
392,0,3,12,8,66500,12,0
393,1,3,20,5,31224,9,1
394,0,4,6,6,8040,10,0
395,0,3,10,5,7344,16,1
396,0,4,11,2,3444,15,1
397,0,1,3,1,3564,14,0
398,0,3,10,5,49296,8,0
399,0,3,15,7,125000,21,0
400,0,4,13,6,46482,2,0
401,0,1,8,1,20112,21,1
402,0,3,16,10,29320,10,1
403,0,3,4,2,7548,8,0
404,1,4,28,22,116333,11,1
405,1,1,10,3,54049,5,0
406,0,1,17,12,54049,13,1
407,0,2,12,6,32429,15,1
408,0,4,11,5,27240,3,0
409,0,5,4,1,71093,1,0
410,0,3,8,3,5496,7,0
411,0,3,4,2,14256,14,1
412,0,4,13,3,32429,18,1
413,1,3,27,25,160000,10,1
414,0,1,18,14,65976,19,1
416,0,3,9,1,49160,14,0
417,0,3,8,3,64000,18,1
418,0,4,16,9,57156,15,1
419,0,3,15,10,39564,3,0
420,1,3,30,8,50411,4,0
421,0,4,9,4,54049,11,0
422,0,3,6,4,59448,19,1
423,0,5,14,7,135000,5,0
424,0,3,21,14,105300,11,0
425,0,2,9,0,13332,24,1
426,0,4,9,4,46482,18,1
427,0,4,14,4,180000,13,0
428,0,3,6,4,17868,15,0
429,0,1,4,2,25944,5,1
430,0,4,3,2,74970,10,0
431,0,4,15,8,25980,27,1
432,0,3,8,3,52942,11,1
433,0,1,3,1,9729,12,1
434,0,4,10,2,40212,9,0
435,0,3,7,3,85000,19,1
436,0,1,8,4,8652,23,1
437,0,3,6,2,45401,10,0
438,0,3,16,15,120000,10,0
439,1,1,18,15,41232,16,1
440,0,4,13,11,155000,15,0
441,0,4,15,6,53388,14,1
442,0,3,9,2,54049,19,1
443,1,5,25,24,57720,9,1
444,0,2,15,7,54480,21,1
445,0,1,15,13,114000,8,0
446,0,4,15,6,34584,7,0
447,1,4,24,15,36804,19,1
448,1,3,12,11,51887,11,0
449,0,2,15,10,77831,10,0
450,0,3,6,4,32676,4,0
451,0,4,10,2,10728,20,1
452,0,3,3,0,34428,16,1
453,1,2,29,21,81074,17,0
454,0,3,15,5,115000,17,1
455,0,3,17,5,55211,22,1
456,0,4,12,3,30216,14,1
458,1,4,2,2,19452,11,1
460,1,3,23,10,142000,24,1
461,0,1,10,8,125000,17,1
462,0,4,9,3,84019,4,0
463,1,3,30,15,60972,15,1
464,0,4,10,5,31128,10,1
465,0,4,8,5,60744,16,0
466,0,4,6,0,51888,6,0
467,0,3,7,3,3504,11,0
468,1,3,27,19,51960,12,1
469,0,3,5,5,16475,4,0
470,0,3,6,2,41040,9,0
471,1,4,30,12,175000,15,0
472,0,4,19,7,49941,14,1
473,0,4,15,7,18848,21,1
474,0,4,14,6,84312,11,0
475,0,4,12,7,81074,11,0
476,1,4,15,10,68102,4,0
477,0,3,9,5,17796,6,0
478,1,5,35,19,110000,2,0
479,1,3,22,12,126000,3,0
480,0,1,17,10,28320,25,1
481,0,1,12,11,24948,7,0
482,0,3,10,1,5585,2,0
483,1,4,30,25,172957,14,1
484,0,3,6,2,35676,8,0
485,0,3,20,24,6324,9,0
486,0,3,9,7,21641,15,1
487,0,3,11,2,72000,21,1
488,0,1,5,4,27900,11,1
489,1,1,31,18,175000,30,1
490,0,3,5,1,8042,18,1
491,1,4,10,10,175112,7,0
492,0,2,19,15,41568,19,1
494,0,3,13,6,33552,21,1
495,0,4,7,3,81074,13,1
496,0,3,8,4,38916,12,1
498,0,4,10,6,12564,6,0
499,0,4,10,8,45300,19,1
500,0,3,5,4,8472,6,0
503,0,2,10,4,75000,8,0
504,0,3,6,2,11169,5,0
505,0,4,7,1,9720,12,0
506,0,3,10,4,30716,15,0
507,1,3,35,25,81074,6,0
508,0,1,15,10,54000,21,0
509,1,1,28,19,71340,20,1
511,0,1,20,10,13962,12,1
512,1,4,20,10,62352,4,0
514,0,4,7,3,51888,13,1
515,0,4,10,6,64224,13,0
516,1,4,20,15,75631,10,1
517,1,2,10,5,36024,2,0
518,0,3,11,6,55130,22,1
519,0,4,12,3,37834,10,0
520,1,3,12,10,68068,26,1
522,1,3,32,15,65922,15,1
523,0,3,10,7,36972,11,0
524,0,3,6,2,11580,15,0
526,0,3,6,2,8508,29,1
527,0,4,5,1,3828,9,0
528,1,3,13,13,32424,15,0
529,1,1,23,20,61608,11,0
530,0,3,6,5,41000,7,0
531,1,1,38,20,79993,12,1
532,0,3,23,5,100000,15,1
533,0,3,10,5,80325,13,0
534,1,3,20,16,150000,15,0
535,0,3,16,12,71446,19,1
536,1,1,25,20,58373,17,0
537,0,3,13,8,47184,5,0
538,0,3,15,13,18984,23,1
539,1,3,32,23,64859,13,1
540,0,3,7,4,28536,5,0
541,0,3,11,3,82750,14,1
542,0,2,3,1,23352,18,1
543,1,1,6,5,71093,7,0
544,0,4,18,7,88208,16,1
545,0,4,13,6,46533,4,0
546,0,3,18,11,59544,7,0
547,0,1,8,3,33600,7,0
548,0,4,15,7,39456,22,1
549,0,1,20,10,16860,25,1
550,0,4,17,8,175116,4,0
551,0,1,15,13,33408,20,1
552,0,3,10,8,110000,14,1
553,1,3,23,14,24000,6,0
554,0,3,5,1,5585,21,1
555,1,4,21,15,75000,15,1
556,0,4,2,2,9792,5,0
558,0,1,8,4,144000,16,0
559,0,5,4,0,24000,17,1
560,1,4,25,7,91883,14,0
561,0,3,10,5,7679,22,1
563,0,3,13,3,75636,11,1
564,0,3,8,5,16980,7,0
565,1,3,1,1,100000,10,0
567,1,1,20,15,103408,3,0
568,0,4,14,8,82848,5,0
569,0,3,6,5,13962,16,1
570,0,3,4,3,29088,6,0
571,0,4,15,12,21204,16,1
573,0,3,9,6,22308,13,1
575,0,3,11,10,55944,8,0
576,0,3,10,9,87896,15,1
577,0,3,10,6,80000,5,0
578,1,3,25,15,38916,17,1
579,1,4,22,15,175119,13,1
581,0,3,17,13,33852,20,1
582,0,1,7,5,36000,21,0
583,0,4,5,4,166000,9,0
584,1,4,18,13,64859,12,0
586,1,1,25,20,89189,23,1
587,0,3,12,5,51887,9,0
588,0,4,8,7,60535,5,0
589,1,4,14,11,39144,1,0
590,1,3,20,16,52942,6,0
591,1,3,32,21,90000,7,1
592,1,3,15,12,82726,8,0
593,0,2,10,6,80008,15,1
594,0,3,3,1,65000,18,1
596,0,3,2,0,8436,11,1
597,0,1,6,1,5832,8,1
598,0,3,16,11,33508,11,1
600,0,4,10,7,160000,17,1
601,0,4,13,3,48644,5,0
602,0,3,16,11,81074,18,0
603,1,4,19,16,56211,5,0
604,0,3,7,3,9960,24,1
606,0,3,7,3,1944,6,0
607,0,3,6,2,66556,24,1
608,0,5,25,10,41796,12,1
609,1,3,28,25,120000,10,0
610,0,1,5,3,33732,16,1
611,0,2,7,6,9072,21,1
612,0,1,7,1,6732,5,0
614,0,2,12,3,1104,11,1
615,0,3,25,6,20940,13,1
616,0,3,19,6,86478,7,0
618,0,3,5,3,45528,4,0
620,1,4,35,23,58373,13,0
621,0,3,10,0,12324,18,1
623,0,3,12,7,83200,8,0
624,0,3,10,4,81000,11,1
625,1,1,26,19,64860,18,0
626,0,4,10,8,106000,11,1
627,1,3,9,7,125000,18,1
628,0,4,16,7,70000,25,1
629,0,3,13,8,32028,15,0
630,0,3,10,6,11304,19,1
632,1,2,37,19,19458,13,1
633,1,1,17,14,100000,4,0
634,1,5,35,15,51704,5,0
635,0,3,12,7,60427,7,0
637,0,3,6,3,60505,17,1
638,0,3,5,3,18326,10,0
639,1,4,20,12,108098,13,0
640,0,4,15,13,21996,21,1
641,0,4,8,8,142501,25,1
642,0,4,10,6,129259,9,0
643,0,5,12,3,93000,6,0
644,0,3,20,5,77250,4,0
645,0,1,4,0,9540,17,0
646,1,4,23,8,64859,17,1
647,0,3,7,5,1200,19,1
648,0,4,8,5,30916,24,1
649,1,4,20,12,87638,11,0
650,0,3,3,3,26527,6,0
651,0,1,7,4,20682,20,1
652,0,1,14,10,129600,23,1
653,1,1,38,20,75669,5,0
655,0,3,6,6,104000,15,0
656,0,2,7,2,36193,16,1
658,0,3,9,0,2508,13,1
659,0,1,15,0,7000,4,0
660,0,1,6,0,17500,20,1
661,0,1,4,1,11400,12,1
662,0,2,5,3,16860,5,0
663,0,3,7,2,5864,15,1
664,0,1,5,0,18160,9,1
665,1,4,37,21,68102,6,0
666,0,1,13,5,47563,15,1
667,0,4,12,10,64630,3,0
668,0,4,7,2,69121,10,0
669,1,3,36,24,47563,6,1
670,0,4,15,4,118919,13,0
671,0,3,13,8,57240,23,1
672,1,3,20,15,216,21,1
673,1,3,19,14,24972,22,1
674,0,1,12,10,155111,4,0
675,0,3,14,10,30018,12,0
676,0,4,11,3,475,6,0
677,0,4,11,6,44320,7,0
678,0,3,10,5,65000,11,0
679,1,3,23,20,60505,7,1
680,0,3,8,3,7200,8,0
681,0,3,5,2,3770,5,0
683,0,3,8,2,57312,22,1
684,0,3,4,2,68000,6,0
685,1,3,35,20,144000,24,1
686,0,3,6,2,60000,29,1
687,0,3,5,2,15682,1,0
688,1,4,3,3,81074,11,0
689,1,3,38,16,49119,10,1
690,0,3,17,10,33732,11,0
691,1,5,15,15,14016,2,0
692,0,3,4,3,63036,11,0
693,0,4,7,3,25944,8,0
694,0,4,13,7,16080,15,1
696,0,4,15,10,111694,10,0
697,0,3,6,1,65000,4,0
698,0,3,3,1,60000,16,1
699,0,4,15,7,32736,6,0
701,0,3,7,3,60972,14,0
702,0,3,16,11,23735,13,0
703,0,5,16,6,62481,9,1
704,0,1,9,8,24540,20,1
705,0,3,6,3,31400,11,0
706,1,3,37,23,150000,16,1
707,0,3,6,1,5868,22,1
708,0,4,12,18,51887,8,0
709,0,3,10,8,29320,13,0
710,1,3,13,11,105000,8,0
711,1,3,20,12,134430,5,0
712,0,1,5,8,5496,14,1
713,1,3,21,17,71340,9,0
714,1,3,39,16,41077,12,1
715,1,1,10,3,70000,12,1
716,1,3,25,12,59454,5,0
717,0,4,4,3,15672,14,1
719,0,3,12,6,34904,22,1
720,0,2,8,4,172950,17,1
721,0,4,16,8,150000,15,1
722,0,3,2,0,11328,12,1
723,0,3,7,6,47826,15,1
724,1,4,12,12,80000,8,1
725,1,5,29,16,84316,2,0
726,1,3,35,21,81074,28,1
727,0,4,5,2,6108,9,0
729,0,1,12,9,41568,24,1
730,0,3,3,2,23400,10,0
731,1,1,26,20,95000,18,1
732,0,4,13,9,57292,9,0
733,0,3,5,3,7679,15,1
734,0,3,5,0,9862,10,0
735,0,3,10,4,16035,3,0
736,0,3,10,5,73507,12,0
737,1,1,36,23,51372,7,0
738,0,3,6,4,55967,18,1
739,0,1,2,7,8124,7,0
740,0,4,18,13,59676,16,1
741,0,4,10,5,40248,8,1
742,1,3,23,16,59459,10,1
744,0,3,13,1,16284,27,1
745,1,4,21,16,47532,8,0
746,0,4,8,2,64860,16,0
747,0,1,15,10,155000,21,1
748,0,3,8,4,32429,11,1
749,0,3,10,8,29148,20,1
750,1,4,24,12,30240,12,1
751,0,3,12,7,15888,22,1
752,0,3,4,1,6696,14,1
753,0,4,13,5,66828,7,0
754,0,3,15,10,75937,26,1
755,0,3,4,0,98064,10,0
756,0,3,6,2,2508,18,1
757,0,3,13,11,118919,5,0
758,1,4,5,5,140000,15,0
759,1,5,25,14,130000,14,0
760,0,1,25,11,54480,21,1
761,1,4,25,15,89568,11,1
762,0,3,13,9,81074,20,1
763,1,4,18,15,115000,13,1
764,0,4,5,0,38778,2,0
765,1,1,12,12,57156,11,1
766,0,1,11,9,150000,5,0
767,0,4,10,5,45564,30,1
768,0,3,16,10,130000,13,1
769,0,1,25,21,77832,22,1
770,0,3,9,9,25128,18,1
771,0,4,15,7,85397,4,0
772,0,5,16,2,123000,15,0
773,1,4,12,10,97288,5,0
774,1,4,19,13,105000,13,1
775,0,3,12,2,3686,7,0
776,0,3,18,7,55000,11,0
777,1,4,15,7,110000,3,0
778,0,4,13,10,90758,14,0
779,1,4,30,12,69183,23,1
780,0,3,8,0,9773,19,1
781,0,3,15,7,32429,11,1
783,0,3,8,5,76000,24,1
784,0,3,9,5,8517,8,0
786,0,1,18,9,28860,15,0
787,0,3,14,12,11832,11,0
788,0,3,4,1,25131,16,1
789,1,4,18,16,77832,15,1
790,0,1,10,7,55582,17,1
791,0,1,12,5,120000,20,1
792,0,1,12,2,31020,10,1
793,0,4,16,11,43404,14,0
794,1,3,25,13,97000,25,1
795,0,4,10,3,25944,13,1
796,1,4,22,7,15192,15,1
797,0,4,16,10,25131,12,0
798,0,3,10,6,54972,25,1
799,1,3,30,20,75669,9,0
800,0,3,9,3,30267,5,0
801,0,4,7,4,41077,19,1
802,0,3,5,4,11868,26,1
803,1,3,20,20,172950,2,0
804,0,4,14,6,96808,9,0
805,0,1,7,4,67092,21,1
806,0,3,11,4,76000,7,0
807,0,3,6,1,79344,11,0
808,0,3,24,1,40086,20,1
809,1,4,20,10,30000,10,1
811,0,3,7,3,26484,9,0
812,0,4,6,2,37834,11,1
813,0,3,6,6,60000,12,1
814,1,3,20,16,25428,10,0
815,1,4,34,21,81074,16,1
816,0,3,5,5,28248,15,0
817,0,3,7,4,12230,8,0
818,0,3,11,5,8376,14,1
819,0,3,15,8,150000,5,0
820,0,3,16,8,36300,8,0
821,0,1,5,1,3372,15,1
822,0,4,13,3,40212,10,0
823,0,1,10,10,13740,13,1
824,1,2,25,22,23352,5,1
825,0,1,14,11,77556,12,1
826,1,1,30,20,56723,14,1
827,0,1,6,5,75631,11,0
828,0,4,10,5,103000,10,1
829,0,4,15,6,95000,8,1
830,0,4,4,2,64630,12,0
831,0,3,6,5,82464,15,1
832,1,5,6,2,108098,6,0
833,0,3,8,4,6432,26,1
834,0,3,10,5,75631,14,0
835,0,3,15,13,84316,14,1
836,0,4,20,2,19452,14,1
837,1,3,21,16,142308,17,0
838,0,1,13,13,110256,11,0
839,0,4,15,1,10810,6,0
840,0,4,10,2,60535,20,1
841,0,3,10,6,37000,20,0
842,0,4,10,4,60000,11,1
843,1,4,22,5,79956,13,1
844,0,3,14,12,160000,10,0
845,0,4,5,3,23782,9,0
846,0,3,11,5,86976,14,0
847,0,3,10,5,17100,3,0
848,1,4,23,20,64859,14,1
849,0,3,6,4,33504,28,1
850,0,4,10,6,26513,14,0
851,1,3,35,8,193889,16,0
852,0,4,11,6,12324,16,1
853,0,3,7,2,86000,5,0
854,1,5,35,18,193052,4,0
855,0,4,12,5,42158,11,0
856,1,1,17,5,60505,22,1
857,0,3,10,6,18156,15,1
858,0,3,4,4,132000,11,0
859,0,3,13,8,73741,15,0
860,0,3,9,8,62697,11,1
861,1,1,20,11,65976,15,0
862,0,3,7,2,27492,14,1
863,0,4,12,7,37834,7,1
864,0,3,12,8,9180,13,1
865,1,3,24,16,148000,12,0
866,1,3,20,20,135000,18,1
868,1,5,11,8,43239,6,0
869,1,4,26,16,85650,9,1
870,0,3,7,4,24696,21,1
871,0,4,11,4,18684,9,0
872,0,3,4,4,18108,10,0
873,0,3,10,2,179000,9,0
875,1,3,30,15,157596,7,0
876,0,4,12,8,108098,13,0
877,0,4,10,6,45564,14,1
878,0,3,4,1,1680,17,1
879,0,3,7,5,29604,13,1
880,1,3,15,13,21144,16,1
881,0,3,4,0,6852,6,0
882,0,1,4,3,24300,6,1
883,1,3,31,13,54049,11,0
884,0,3,7,2,38778,26,1
885,1,4,8,4,130000,8,0
886,0,3,2,2,70000,8,0
887,0,4,15,6,70264,17,1
888,0,3,12,2,13032,19,1
889,1,4,13,10,54049,10,0
890,1,3,18,15,141900,14,0
